# Temperature-dependent optical constants of liquid water, 700-1260 cm^-1.
#
# Nalli, Jung, Stegmann, Johnson & Zhou, "Temperature-dependent optical constants
# of water in the thermal infrared derived from data archaeology", Optics Continuum
# 1(4) 738, 2022. doi:10.1364/OPTCON.450833
# Data: doi:10.6084/m9.figshare.19341533, file Pinkley-Nalli-Downing-Williams.nc,
# CC BY 4.0. Downing & Williams 1975 extended in temperature using Pinkley 1977.
#
# The same dataset carries a Friedman salinity correction. It is not reproduced here:
# measured across this band it shifts emissivity by 1e-4, which is below the
# resolution of anything downstream.
# wavenumber_cm1,temperature_k,n,k
700,271,1.27538,0.39298
720,271,1.24905,0.38001
740,271,1.22261,0.36559
760,271,1.19824,0.34732
780,271,1.16764,0.32415
800,271,1.15233,0.29329
820,271,1.14450,0.25971
840,271,1.14100,0.22475
860,271,1.13963,0.19099
880,271,1.14070,0.16398
900,271,1.13993,0.13647
920,271,1.15026,0.10680
940,271,1.16783,0.08839
960,271,1.18302,0.07702
980,271,1.19777,0.06791
1000,271,1.21096,0.06185
1020,271,1.22226,0.05691
1040,271,1.23205,0.05323
1060,271,1.24054,0.04985
1080,271,1.24820,0.04733
1100,271,1.25527,0.04491
1120,271,1.26121,0.04283
1140,271,1.26744,0.04079
1160,271,1.27301,0.03964
1180,271,1.27872,0.03841
1200,271,1.28411,0.03768
1220,271,1.28856,0.03703
1240,271,1.29281,0.03675
1260,271,1.29743,0.03651
700,275,1.26880,0.38958
720,275,1.24289,0.37638
740,275,1.21701,0.36151
760,275,1.19300,0.34283
780,275,1.16320,0.31920
800,275,1.14834,0.28812
820,275,1.14112,0.25420
840,275,1.13834,0.21919
860,275,1.13744,0.18534
880,275,1.13984,0.15747
900,275,1.14170,0.13110
920,275,1.15221,0.10398
940,275,1.16875,0.08640
960,275,1.18369,0.07521
980,275,1.19822,0.06637
1000,275,1.21131,0.06046
1020,275,1.22253,0.05572
1040,275,1.23229,0.05219
1060,275,1.24074,0.04902
1080,275,1.24837,0.04670
1100,275,1.25539,0.04452
1120,275,1.26125,0.04271
1140,275,1.26724,0.04093
1160,275,1.27258,0.03987
1180,275,1.27810,0.03875
1200,275,1.28330,0.03808
1220,275,1.28756,0.03749
1240,275,1.29164,0.03720
1260,275,1.29611,0.03698
700,279,1.26231,0.38636
720,279,1.23682,0.37290
740,279,1.21145,0.35758
760,279,1.18783,0.33847
780,279,1.15879,0.31442
800,279,1.14439,0.28313
820,279,1.13767,0.24892
840,279,1.13555,0.21382
860,279,1.13497,0.17981
880,279,1.13874,0.15082
900,279,1.14344,0.12558
920,279,1.15417,0.10112
940,279,1.16969,0.08437
960,279,1.18438,0.07338
980,279,1.19870,0.06482
1000,279,1.21170,0.05906
1020,279,1.22284,0.05453
1040,279,1.23254,0.05119
1060,279,1.24095,0.04821
1080,279,1.24853,0.04609
1100,279,1.25549,0.04413
1120,279,1.26125,0.04257
1140,279,1.26705,0.04102
1160,279,1.27220,0.04008
1180,279,1.27753,0.03908
1200,279,1.28255,0.03848
1220,279,1.28661,0.03797
1240,279,1.29052,0.03767
1260,279,1.29483,0.03748
700,283,1.25611,0.38330
720,283,1.23101,0.36950
740,283,1.20616,0.35371
760,283,1.18298,0.33418
780,283,1.15469,0.30976
800,283,1.14079,0.27829
820,283,1.13455,0.24386
840,283,1.13307,0.20872
860,283,1.13277,0.17463
880,283,1.13773,0.14464
900,283,1.14502,0.12034
920,283,1.15604,0.09834
940,283,1.17064,0.08240
960,283,1.18508,0.07162
980,283,1.19919,0.06333
1000,283,1.21209,0.05772
1020,283,1.22316,0.05339
1040,283,1.23280,0.05022
1060,283,1.24115,0.04742
1080,283,1.24868,0.04546
1100,283,1.25559,0.04371
1120,283,1.26125,0.04235
1140,283,1.26689,0.04100
1160,283,1.27186,0.04017
1180,283,1.27704,0.03927
1200,283,1.28189,0.03874
1220,283,1.28578,0.03829
1240,283,1.28954,0.03799
1260,283,1.29371,0.03782
700,287,1.25040,0.38036
720,287,1.22568,0.36614
740,287,1.20142,0.34984
760,287,1.17873,0.32992
780,287,1.15126,0.30517
800,287,1.13787,0.27359
820,287,1.13221,0.23901
840,287,1.13136,0.20398
860,287,1.13142,0.17002
880,287,1.13719,0.13956
900,287,1.14633,0.11588
920,287,1.15771,0.09580
940,287,1.17156,0.08062
960,287,1.18578,0.07003
980,287,1.19969,0.06198
1000,287,1.21249,0.05650
1020,287,1.22347,0.05233
1040,287,1.23306,0.04927
1060,287,1.24135,0.04662
1080,287,1.24884,0.04480
1100,287,1.25569,0.04321
1120,287,1.26126,0.04201
1140,287,1.26676,0.04081
1160,287,1.27158,0.04005
1180,287,1.27663,0.03921
1200,287,1.28136,0.03871
1220,287,1.28513,0.03829
1240,287,1.28879,0.03797
1260,287,1.29288,0.03781
700,291,1.24552,0.37763
720,291,1.22115,0.36286
740,291,1.19758,0.34599
760,291,1.17545,0.32571
780,291,1.14891,0.30072
800,291,1.13606,0.26913
820,291,1.13111,0.23452
840,291,1.13088,0.19983
860,291,1.13144,0.16629
880,291,1.13749,0.13616
900,291,1.14732,0.11274
920,291,1.15911,0.09374
940,291,1.17245,0.07920
960,291,1.18649,0.06874
980,291,1.20021,0.06091
1000,291,1.21290,0.05548
1020,291,1.22376,0.05143
1040,291,1.23330,0.04839
1060,291,1.24155,0.04586
1080,291,1.24901,0.04408
1100,291,1.25580,0.04261
1120,291,1.26131,0.04148
1140,291,1.26669,0.04037
1160,291,1.27140,0.03958
1180,291,1.27638,0.03876
1200,291,1.28106,0.03821
1220,291,1.28478,0.03779
1240,291,1.28841,0.03741
1260,291,1.29249,0.03724
700,295,1.24166,0.37549
720,295,1.21759,0.35998
740,295,1.19472,0.34246
760,295,1.17330,0.32186
780,295,1.14769,0.29672
800,295,1.13550,0.26530
820,295,1.13115,0.23093
840,295,1.13131,0.19664
860,295,1.13224,0.16358
880,295,1.13831,0.13396
900,295,1.14828,0.11065
920,295,1.16039,0.09225
940,295,1.17336,0.07820
960,295,1.18726,0.06782
980,295,1.20079,0.06015
1000,295,1.21339,0.05472
1020,295,1.22413,0.05077
1040,295,1.23358,0.04770
1060,295,1.24173,0.04521
1080,295,1.24914,0.04337
1100,295,1.25587,0.04191
1120,295,1.26136,0.04071
1140,295,1.26670,0.03958
1160,295,1.27143,0.03871
1180,295,1.27642,0.03788
1200,295,1.28112,0.03725
1220,295,1.28487,0.03681
1240,295,1.28855,0.03636
1260,295,1.29269,0.03617
700,299,1.23739,0.37312
720,299,1.21365,0.35688
740,299,1.19152,0.33871
760,299,1.17080,0.31777
780,299,1.14615,0.29247
800,299,1.13459,0.26115
820,299,1.13095,0.22695
840,299,1.13161,0.19312
860,299,1.13295,0.16061
880,299,1.13902,0.13155
900,299,1.14918,0.10833
920,299,1.16164,0.09061
940,299,1.17421,0.07708
960,299,1.18797,0.06677
980,299,1.20133,0.05929
1000,299,1.21383,0.05387
1020,299,1.22447,0.05003
1040,299,1.23385,0.04696
1060,299,1.24191,0.04454
1080,299,1.24924,0.04268
1100,299,1.25590,0.04124
1120,299,1.26134,0.03998
1140,299,1.26667,0.03885
1160,299,1.27138,0.03794
1180,299,1.27635,0.03711
1200,299,1.28105,0.03642
1220,299,1.28481,0.03597
1240,299,1.28851,0.03544
1260,299,1.29269,0.03523
700,303,1.23121,0.36946
720,303,1.20800,0.35260
740,303,1.18688,0.33388
760,303,1.16674,0.31275
780,303,1.14308,0.28721
800,303,1.13189,0.25580
820,303,1.12930,0.22114
840,303,1.13113,0.18798
860,303,1.13296,0.15628
880,303,1.13920,0.12780
900,303,1.14982,0.10479
920,303,1.16284,0.08801
940,303,1.17500,0.07526
960,303,1.18861,0.06517
980,303,1.20175,0.05804
1000,303,1.21406,0.05278
1020,303,1.22443,0.04903
1040,303,1.23383,0.04592
1060,303,1.24183,0.04370
1080,303,1.24909,0.04189
1100,303,1.25565,0.04059
1120,303,1.26103,0.03934
1140,303,1.26628,0.03834
1160,303,1.27089,0.03745
1180,303,1.27576,0.03668
1200,303,1.28038,0.03597
1220,303,1.28406,0.03556
1240,303,1.28771,0.03499
1260,303,1.29184,0.03481
700,307,1.22354,0.36466
720,307,1.20112,0.34718
740,307,1.18133,0.32803
760,307,1.16172,0.30693
780,307,1.13908,0.28116
800,307,1.12795,0.24959
820,307,1.12672,0.21383
840,307,1.13042,0.18164
860,307,1.13268,0.15115
880,307,1.13916,0.12336
900,307,1.15006,0.10072
920,307,1.16369,0.08461
940,307,1.17587,0.07284
960,307,1.18926,0.06335
980,307,1.20214,0.05672
1000,307,1.21405,0.05192
1020,307,1.22376,0.04816
1040,307,1.23318,0.04478
1060,307,1.24109,0.04275
1080,307,1.24831,0.04088
1100,307,1.25479,0.03974
1120,307,1.26012,0.03846
1140,307,1.26530,0.03760
1160,307,1.26988,0.03669
1180,307,1.27468,0.03606
1200,307,1.27925,0.03534
1220,307,1.28285,0.03506
1240,307,1.28645,0.03448
1260,307,1.29048,0.03445
700,311,1.21611,0.36034
720,311,1.19432,0.34235
740,311,1.17533,0.32269
760,311,1.15634,0.30116
780,311,1.13470,0.27504
800,311,1.12408,0.24305
820,311,1.12424,0.20669
840,311,1.12961,0.17526
860,311,1.13257,0.14603
880,311,1.13924,0.11913
900,311,1.15024,0.09701
920,311,1.16424,0.08130
940,311,1.17671,0.07039
960,311,1.18984,0.06163
980,311,1.20249,0.05542
1000,311,1.21403,0.05117
1020,311,1.22309,0.04750
1040,311,1.23226,0.04392
1060,311,1.24009,0.04184
1080,311,1.24726,0.03994
1100,311,1.25369,0.03882
1120,311,1.25898,0.03755
1140,311,1.26413,0.03673
1160,311,1.26869,0.03583
1180,311,1.27346,0.03527
1200,311,1.27801,0.03457
1220,311,1.28158,0.03439
1240,311,1.28513,0.03385
1260,311,1.28908,0.03391
